region,year,real_gdp,employment,average_hours_worked,total_hours,population,output_per_employed_person,output_per_hour_worked,per_capita_income
Asia,1997,1183946.9444444445,121218.66666666667,2220.0555555555557,251080.16666666666,243184.38888888888,28922.5,12.88888888888889,13577.111111111111
Asia,1998,1190633.3333333333,122629.77777777778,2225.5,256038.44444444444,245989.77777777778,28120.055555555555,12.61111111111111,13029.5
Asia,1999,1245118.5,124197.16666666667,2233.4444444444443,261020.66666666666,248683.61111111112,29307.222222222223,13,13510.5
Asia,2000,1321265.388888889,125698.16666666667,2249.222222222222,265300.8888888889,251336.61111111112,30643.055555555555,13.5,14284.111111111111
Asia,2001,1380115.0555555555,127550.16666666667,2227.9444444444443,269799.6111111111,253944,30488.5,13.61111111111111,14237.722222222223
Asia,2002,1462231.7777777778,129247.77777777778,2217.8888888888887,274341.27777777775,256464.05555555556,31556.944444444445,14.166666666666666,14688.722222222223
Asia,2003,1553372.111111111,130771.38888888889,2217.3333333333335,279467.44444444444,258915.77777777778,32762.38888888889,14.777777777777779,15289.277777777777
Asia,2004,1668484.9444444445,132475.88888888888,2226.722222222222,285763.27777777775,261398.55555555556,34440.72222222222,15.5,16224.444444444445
Asia,2005,1795716.888888889,133461.22222222222,2225.9444444444443,289660.55555555556,263848.44444444444,35766.72222222222,16,16998.333333333332
Asia,2006,1945262.0555555555,134466.77777777778,2219.4444444444443,291132.5,266343.5,36987.5,16.72222222222222,17859.222222222223
Asia,2007,2116600.611111111,135474.16666666666,2216.3333333333335,290993.6111111111,268838.27777777775,38264.166666666664,17.27777777777778,18751.61111111111
Asia,2008,2229930.1666666665,136481.38888888888,2203.4444444444443,291355.05555555556,271296.94444444444,38097.333333333336,17.555555555555557,18865.88888888889
Asia,2009,2337876.888888889,137370.22222222222,2198.5555555555557,294034.1666666667,273703.05555555556,37751.166666666664,17.61111111111111,18579.5
Asia,2010,2552008.222222222,138468.44444444444,2205.3333333333335,299242.05555555556,276092.5,40141.61111111111,18.5,20033.555555555555
Asia,2011,2717201.611111111,139564.16666666666,2202.1666666666665,301822.6111111111,278448.77777777775,41111.72222222222,19,20748.666666666668
Asia,2012,2853673.5555555555,140540.11111111112,2195.8888888888887,304059.6666666667,280773.1111111111,41913.555555555555,19.333333333333332,21292.38888888889
Asia,2013,3030192.277777778,141631.66666666666,2172.722222222222,305223.05555555556,283080.44444444444,42715.27777777778,20.055555555555557,21962.166666666668
Asia,2014,3209387.722222222,142108.33333333334,2168.777777777778,305915.72222222225,285375.3333333333,43802.444444444445,20.444444444444443,22630.333333333332
Asia,2015,3372225.5555555555,142512.55555555556,2165.6111111111113,306161.77777777775,287650.1111111111,44799.11111111111,20.944444444444443,23190.833333333332
Asia,2016,3550665.0555555555,143282.33333333334,2159.8888888888887,307275.77777777775,289885.55555555556,45925.38888888889,21.77777777777778,23791.222222222223
Asia,2017,3722485.111111111,144007.44444444444,2147.1666666666665,308589,292068.1111111111,47454.27777777778,22.5,24663.222222222223
Asia,2018,3879801.5,144655,2146.777777777778,310701.22222222225,294209.77777777775,48648.166666666664,23.166666666666668,25373.61111111111
Asia,2019,4046491.3333333335,145355.05555555556,2138.777777777778,310935.27777777775,296272.94444444444,49285.61111111111,23.5,25748.666666666668
Asia,2020,4020194.277777778,142634.77777777778,2040,293305.72222222225,298247.22222222225,48749.77777777778,24.333333333333332,24828.61111111111
Asia,2021,4282927.277777778,144614,2128.5555555555557,308755.77777777775,300142.77777777775,50611.72222222222,24.38888888888889,26010.11111111111
Central and Eastern Europe and Central Asia,1950,163519.14285714287,4766.464285714285,NA,NA,10235.142857142857,10382.57142857143,NA,5120.571428571428
Central and Eastern Europe and Central Asia,1951,169132.42857142858,4840.071428571428,NA,NA,10403.25,11012,NA,5462.571428571428
Central and Eastern Europe and Central Asia,1952,179063.42857142858,4913.964285714285,NA,NA,10575.714285714286,11324.857142857143,NA,5609
Central and Eastern Europe and Central Asia,1953,188558.2857142857,4988.678571428572,NA,NA,10752.214285714286,11853.42857142857,NA,5862.857142857143
Central and Eastern Europe and Central Asia,1954,196453.57142857142,5068.678571428572,NA,NA,10933.642857142857,12083.57142857143,NA,5956.428571428572
Central and Eastern Europe and Central Asia,1955,212074.42857142858,5151.928571428572,NA,NA,11129.107142857143,12825.57142857143,NA,6302
Central and Eastern Europe and Central Asia,1956,226687.42857142858,5215.821428571428,NA,NA,11324.535714285714,13115,NA,6373.142857142857
Central and Eastern Europe and Central Asia,1957,234946.7142857143,5297.428571428572,NA,NA,11515.357142857143,13789.42857142857,NA,6689
Central and Eastern Europe and Central Asia,1958,250696.2857142857,5375.357142857143,NA,NA,11712.392857142857,14504,NA,7009
Central and Eastern Europe and Central Asia,1959,252733.14285714287,5458.285714285715,NA,NA,11913.285714285714,14824.57142857143,NA,7166.428571428572
Central and Eastern Europe and Central Asia,1960,272486.28571428574,5546.928571428572,NA,NA,12118.035714285714,15594.285714285714,NA,7526.857142857143
Central and Eastern Europe and Central Asia,1961,290657.71428571426,5640,NA,NA,12320.5,16357.285714285714,NA,7872.428571428572
Central and Eastern Europe and Central Asia,1962,307549,5726.607142857143,NA,NA,12507.25,16961,NA,8157.428571428572
Central and Eastern Europe and Central Asia,1963,322837,5815.214285714285,NA,NA,12683.82142857143,17727.285714285714,NA,8540.285714285714
Central and Eastern Europe and Central Asia,1964,342427.71428571426,5895.5,NA,NA,12850.357142857143,18552,NA,8960.857142857143
Central and Eastern Europe and Central Asia,1965,359842.5714285714,5976.892857142857,NA,NA,13004.785714285714,19150.428571428572,NA,9276.42857142857
Central and Eastern Europe and Central Asia,1966,387307.85714285716,6057.392857142857,NA,NA,13151.82142857143,20399.571428571428,NA,9919.857142857143
Central and Eastern Europe and Central Asia,1967,409275.28571428574,6139.892857142857,NA,NA,13293.392857142857,21174.714285714286,NA,10350
Central and Eastern Europe and Central Asia,1968,431780,6211.607142857143,NA,NA,13441.17857142857,21865.85714285714,NA,10633.285714285714
Central and Eastern Europe and Central Asia,1969,443331.5714285714,6280.178571428572,NA,NA,13578.82142857143,22386.85714285714,NA,10874
Central and Eastern Europe and Central Asia,1970,175053.64285714287,6355.892857142857,2086,24218,13715.214285714286,23330.535714285714,11,10400.607142857143
Central and Eastern Europe and Central Asia,1971,183070.89285714287,6447.607142857143,2077,24525,13859.714285714286,23941.678571428572,12,10757.07142857143
Central and Eastern Europe and Central Asia,1972,187550.35714285713,6549.178571428572,2069,25104,14009.107142857143,23790.571428571428,12,10777.857142857143
Central and Eastern Europe and Central Asia,1973,200922.39285714287,6644.75,2060,25463,14158.75,24887.785714285714,12,11341.035714285714
Central and Eastern Europe and Central Asia,1974,209175.85714285713,6743.678571428572,2044,25910,14314,25715.535714285714,13,11784.714285714286
Central and Eastern Europe and Central Asia,1975,213907.0357142857,6831.107142857143,2028,26022,14471.035714285714,25212.14285714286,14,11626.17857142857
Central and Eastern Europe and Central Asia,1976,222905.82142857142,6912.285714285715,2012,26176,14623.607142857143,26002.678571428572,16,12033.714285714286
Central and Eastern Europe and Central Asia,1977,229318.25,7007.607142857143,1996,26788,14773.92857142857,26499.89285714286,16,12321.82142857143
Central and Eastern Europe and Central Asia,1978,235454.4642857143,7107.714285714285,1980,26925,14918.214285714286,27008.714285714286,16,12631.82142857143
Central and Eastern Europe and Central Asia,1979,236183.32142857142,7195.357142857143,1964,27095,15059.642857142857,26904.321428571428,16,12648.17857142857
Central and Eastern Europe and Central Asia,1980,237730.89285714287,7280.392857142857,2044,19435.5,15194.392857142857,26457.25,17,12490.75
Central and Eastern Europe and Central Asia,1981,239171.60714285713,7335.285714285715,2040,19468.5,15339.964285714286,26258.85714285714,17,12469.642857142857
Central and Eastern Europe and Central Asia,1982,243646.4642857143,7383.214285714285,1991,19288,15488.964285714286,26745.964285714286,18.5,12736.214285714286
Central and Eastern Europe and Central Asia,1983,249593.10714285713,7427,1977.5,19287,15636.57142857143,26993.5,19,12887.75
Central and Eastern Europe and Central Asia,1984,254562.89285714287,7514.464285714285,1910.5,18823,15791.214285714286,27414.428571428572,20,13157.035714285714
Central and Eastern Europe and Central Asia,1985,257027.42857142858,7542.892857142857,1911,19168.5,15942.5,27107.89285714286,20,13054.17857142857
Central and Eastern Europe and Central Asia,1986,266634,7598.892857142857,1899,19291.5,16091.17857142857,28096.071428571428,21,13598.785714285714
Central and Eastern Europe and Central Asia,1987,270191.35714285716,7655.5,1901,19386.5,16235.17857142857,28019.60714285714,22,13688.142857142857
Central and Eastern Europe and Central Asia,1988,274765.9285714286,7688.571428571428,1894.5,19487,16365.392857142857,28402.75,22.5,13825.17857142857
Central and Eastern Europe and Central Asia,1989,276766.21428571426,7762.285714285715,1897.5,20002.5,16467.571428571428,28441.714285714286,22,13852.607142857143
Central and Eastern Europe and Central Asia,1990,269204.35714285716,7715.071428571428,1861,14869.333333333334,16589.285714285714,27663.285714285714,21,13166.42857142857
Central and Eastern Europe and Central Asia,1991,250949.92857142858,7508.964285714285,1852,14949.666666666666,16681.285714285714,25984.071428571428,19.666666666666668,11783.785714285714
Central and Eastern Europe and Central Asia,1992,225642.85714285713,7242.428571428572,1915.25,48809,16737.214285714286,24646.535714285714,20,10273.535714285714
